id,ip,endereco,telefone
1424190421,10.150.186.1 (10 Mbps),Av. Brg. Lima e Silva 1618 - Jardim 25 de Agosto - Duque de Caxias,(21) 2672-6678
1143190421,10.150.239.1 (10 Mbps),Rua Miguel Jorge 100 – Centro - Casimiro de Abreu,(22) 2778-5793
